SensorTemp,NucleoTemp,Time
65.075,-9.245281,362.0268
65.075,-9.245281,363.0269
64.9625,-9.547169,364.0269
64.9625,-9.245281,365.027
65.1875,-9.245281,366.0271
65.075,-8.943398,367.0272
65.075,-9.245281,368.0272
65.1875,-8.943398,369.0273
65.1875,-8.943398,370.0274
65.1875,-9.245281,371.0275
65.075,-8.943398,372.0275
65.3,-8.943398,373.0276
65.3,-8.943398,374.0277
65.1875,-8.943398,375.0278
65.1875,-8.943398,376.0278
65.1875,-8.943398,377.0279
65.1875,-8.943398,378.028
65.1875,-8.943398,379.0281
65.1875,-8.64151,380.0282
65.1875,-8.64151,381.0283
65.3,-8.943398,382.0283
65.3,-8.64151,383.0284
65.4125,-8.339622,384.0285
65.525,-8.943398,385.0285
65.4125,-8.943398,386.0286
65.4125,-8.943398,387.0287
65.525,-8.64151,388.0288
65.4125,-8.943398,389.0289
65.525,-8.64151,390.0289
65.3,-8.64151,391.029
65.3,-8.943398,392.029
65.3,-8.943398,393.0291
65.3,-8.943398,394.0292
65.4125,-8.64151,395.0293
65.075,-8.64151,396.0293
65.3,-8.943398,397.0294
65.1875,-8.64151,398.0295
65.075,-8.64151,399.0295
65.075,-8.943398,400.0296
65.1875,-8.64151,401.0296
65.1875,-9.245281,402.0297
64.9625,-8.943398,403.0298
64.85,-8.943398,404.0298
64.85,-8.943398,405.0299
64.73751,-9.245281,406.03
64.4,-8.943398,407.0301
64.5125,-9.245281,408.0302
64.5125,-8.943398,409.0302
64.4,-8.943398,410.0303
64.2875,-9.245281,411.0304
64.175,-9.245281,412.0305
64.2875,-8.943398,413.0306
64.2875,-8.943398,414.0306
64.2875,-9.245281,415.0307
64.175,-9.547169,416.0308
64.0625,-8.943398,417.0309
63.8375,-9.245281,418.031
63.8375,-8.943398,419.031
64.175,-8.943398,420.0311
64.2875,-8.943398,421.0312
64.2875,-8.64151,422.0313
64.2875,-9.245281,423.0313
64.4,-9.245281,424.0314
64.5125,-8.943398,425.0315
64.5125,-8.943398,426.0316
64.625,-8.943398,427.0317
64.5125,-8.943398,428.0317
64.4,-9.245281,429.0318
64.2875,-9.245281,430.0319
64.2875,-9.245281,431.0319
64.4,-9.245281,432.032
64.175,-9.245281,433.0321
64.2875,-9.245281,434.0322
64.2875,-9.245281,435.0322
63.95,-9.547169,436.0323
63.8375,-9.547169,437.0324
63.95,-9.547169,438.0325
63.6125,-9.547169,439.0326
63.5,-9.849056,440.0326
63.8375,-9.849056,441.0327
63.8375,-9.849056,442.0328
63.5,-9.849056,443.0328
63.5,-10.15094,444.0329
63.5,-9.849056,445.033
63.3875,-9.849056,446.033
63.3875,-9.849056,447.0332
63.5,-10.15094,448.0332
63.5,-10.15094,449.0333
63.6125,-9.849056,450.0334
63.3875,-10.15094,451.0334
63.5,-10.15094,452.0335
63.5,-9.849056,453.0336
63.3875,-10.15094,454.0337
63.5,-9.849056,455.0337
63.3875,-10.15094,456.0338
63.275,-9.849056,457.0339
63.1625,-10.15094,458.034
63.3875,-10.15094,459.0341
63.275,-10.15094,460.0341
63.1625,-10.15094,461.0342
63.05,-10.15094,462.0343
62.9375,-10.15094,463.0343
62.9375,-10.15094,464.0345
63.05,-10.15094,465.0345
63.275,-10.45283,466.0346
63.1625,-10.15094,467.0347
63.05,-10.75472,468.0347
62.9375,-10.15094,469.0348
62.825,-10.15094,470.0349
62.825,-10.75472,471.0349
62.7125,-10.45283,472.035
62.825,-10.45283,473.0351
62.9375,-10.45283,474.0352
62.7125,-10.45283,475.0353
62.6,-10.75472,476.0353
62.4875,-10.45283,477.0354
62.825,-10.45283,478.0354
62.7125,-10.75472,479.0355
62.7125,-10.75472,480.0357
